title,genres,releaseYear,imdbAverageRating,imdbNumVotes
Last Summer,"Drama, Thriller",2023,6.4,3776
Black Clover: Sword of the Wizard King,"Action, Adventure, Animation",2023,7.4,8913
Barbie & Chelsea: The Lost Birthday,"Adventure, Animation, Family",2021,5.3,458
Get the Grift,"Comedy, Crime",2021,5.4,904
Más allá de las estrellas. Fotografiando un agujero negro,Documentary,2020,6.5,16
Buckley's Chance,Family,2021,5.6,528
A Tourist's Guide to Love,"Adventure, Comedy, Romance",2023,5.8,7960
Maixabel,"Biography, Drama",2021,7.1,3882
Lady Chatterley's Lover,"Drama, Romance",2022,6.6,25676
Amalia en el otoño,Drama,2020,4.4,42
Humidity Alert,"Comedy, Drama",2021,5.8,21
The Last Kids on Earth: Happy Apocalypse to You,"Adventure, Animation, Comedy",2021,7.3,63
Once Upon a Time in Hong Kong,"Action, Crime, History",2021,5.5,308
Away Bus,"Comedy, Drama",2019,7.8,72
Dovbush,"Action, Adventure, Drama",2023,7.4,2404
Confesiones de un asesino en serie,"Horror, Thriller",1997,,
Plastic Island,Documentary,2021,7.3,59
Infierno en Los Angeles,"Action, Crime, Drama",2002,,
Momshies! Your Soul Is Mine,Comedy,2021,5.4,58
Bethlehem Night,"Comedy, Fantasy",2022,5.6,180
Sisters on Track,"Documentary, Sport",2021,6.1,241
Alimañas,Comedy,2023,4.9,647
Searching for Sheela,"Biography, Crime, Documentary",2021,4.3,1588
Mummies,"Adventure, Animation, Comedy",2023,5.9,10013
They/Them,"Drama, Horror, Mystery",2022,4,13151
Switch,"Crime, Romance, Mystery, TV Movie",2020,,
Prophetess,"Comedy, Drama",2021,5.3,36
Endangered Species,"Action, Thriller",2021,4.6,2938
Just One Time,Drama,2021,5.7,307
Home Team,"Comedy, Sport",2022,6,23275
Tár,"Drama, Music",2022,7.4,104410
Goodbye,"Comedy, Drama, Family",2022,6.7,10433
Motu Patlu in Hong Kong: Kung Fu Kings 3,"Animation, TV Movie, Adventure",2017,,
Motu Patlu in the City of Gold,,2018,,
Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,"Animation, TV Movie, Action, Adventure",2018,,
Motu Patlu the Superheroes: Supervillians from Mars,"Action, Animation, Comedy",2019,7.9,18
Motu Patlu Kung Fu Kings,"Action, Animation, Comedy",2014,8.4,84
Shiva VS Autobots,,2018,,
Shiva: Journey to Plunotaria,Animation,2019,,
Shiva: The Secret World Of Vedas City,,2017,,
Doom of Love,"Drama, Romance",2022,4.9,2691
Lovely Boy,"Drama, Music",2021,5.8,314
Memory,"Action, Crime, Thriller",2022,5.7,39665
Fenced In,Comedy,2022,4.5,770
Wedding Games,"Comedy, Romance",2023,4.3,161
Overhaul,"Action, Crime, Drama",2023,4.9,944
Wedding Season,"Comedy, Romance",2022,6.3,11921
Through My Window,"Comedy, Drama, Romance",2022,5.5,22640
Are You,"Comedy, Romance",2023,5.7,3282
Carnaval,Comedy,2021,4.1,1081
Wave of Cinema: Nanti Kita Cerita Tentang Hari Ini,"Documentary, Music",2020,,
The In Between,"Drama, Fantasy, Romance",2022,5.9,11343
Luccas Neto em: Duas Babás Muito Esquisitas,Comedy,2021,3.2,55
Face Off 5: 48H,"Action, Comedy",2021,5.2,151
Lola,Drama,2024,3.8,1171
Snelle: Without a Coat,"Documentary, Music",2021,6.8,193
Dreamcatcher,,2020,,
Dad Stop Embarassing Me!,Talk-Show,2021,4.7,13
Dante,"Biography, History, Romance",2022,5.7,494
You Me Lenin,Drama,2021,6.5,2256
Found,"Documentary, Drama",2021,7.5,1480
Seriously Red,"Comedy, Drama, Music",2022,5.7,1061
The Quintessential Quintuplets Movie,"Animation, Comedy, Drama",2022,7.3,2695
Good Morning,Drama,2022,8.3,17
Downton Abbey: A New Era,"Drama, Romance",2022,7.4,34861
Audible,"Documentary, Short, Sport",2021,6.7,2711
After Everything,"Drama, Romance",2023,4.7,10482
Paper & Glue,"Biography, Documentary",2021,8.2,466
King of Prison 2: The Prison War,Action,2021,,
A Tale of Love and Desire,"Drama, Romance",2021,6.6,1240
The Good Boss,"Comedy, Drama",2021,7.1,15741
Shadow and Bone,Talk-Show,2021,5.2,53
Seven Souls in the Skull Castle: Season Bird,Drama,2019,6.4,12
Motu Patlu: Dino Invasion,"Adventure, Animation, Comedy",2018,3.5,14
Motu Patlu in Octopus World,"Adventure, Animation, Comedy",2017,4.4,12
Motu Patlu & Robo Kids,"Action, Animation, Comedy",2019,7.9,24
Rudra: Secret of the Black Moon,,,,
Keymon and Nani in Space Adventure,Adventure,2012,7.1,8
Persuasion,"Drama, Romance",2022,5.8,38180
Wave of Cinema: Filosofi Kopi,"Documentary, Music",2020,,
Jaadugar,"Comedy, Drama, Fantasy",2022,6.8,11976
HollyBlood,"Comedy, Fantasy, Horror",2022,4.5,1327
Catch the Fair One,"Crime, Thriller",2021,6.3,2641
The Novice,"Drama, Sport",2021,6.5,7536
Queen of Glory,Comedy,2021,6.5,442
Last Film Show,Drama,2021,7.4,4707
Dear Imamku,"Drama, Romance",2021,6.8,24
Cracked,"Horror, Thriller",2022,5.1,593
Promises,"Drama, Romance",2021,5.3,478
The Swimmers,"Biography, Drama, Sport",2022,7.4,38838
578 Magnum,"Action, Drama",2022,4.1,936
The Lost Leonardo,"Documentary, Mystery",2021,7.5,3070
Like a Rolling Stone: The Life & Times of Ben Fong-Torres,Documentary,2022,7.3,493
Two Boys and A Mermaid,Drama,2015,4.8,7
Hari yang Dijanjikan,Drama,2021,7,33
Mireille and the Others,Drama,1979,4.9,37
Soy Rada: Serendipity,Comedy,2021,6,91
Cicliste per Caso - Grizzly Tour,"Adventure, Documentary",2020,5.7,192
Beautiful They,"Drama, Short",2021,6.8,84
To Leslie,Drama,2022,7.1,18819
Kongsuni the Movie : Toy World Adventure,Animation,2021,,
The Knower,"Action, Crime, Thriller",2021,6.2,2191
The Baker,"Action, Crime, Drama",2022,5.9,3512
Good on Paper,"Comedy, Romance",2021,5.6,14692
Dream Scenario,"Comedy, Drama, Fantasy",2023,6.8,86270
Lifeline,"Drama, Thriller",2021,6,34
Seal Team,"Action, Animation, Comedy",2021,5.6,1947
Kurz manzelské touhy,"Comedy, Drama",2021,5.1,114
Blacklight,"Action, Drama, Thriller",2022,4.9,26961
The Last Race,"Biography, Drama, Sport",2022,7,274
Po cem muzi touzí 2,"Comedy, Fantasy",2022,5.3,173
Bo Burnham: Inside,"Comedy, Documentary, Drama",2021,8.6,57507
The Wonder,"Drama, Mystery, Thriller",2022,6.6,47254
I Am All Girls,"Crime, Drama, Mystery",2021,6,7677
November,"Crime, Drama, Thriller",2022,6.7,7129
Ribbon,Drama,2021,6.3,77
Our Nature,Short,2021,7,32
Sugar High,Reality-TV,2020,7.2,236
Easter Sunday,Comedy,2022,5.3,3002
What Did You Eat Yesterday?,"Comedy, Drama, Romance",2021,7.1,575
Il Diavolo E L'acqua Santa,,1983,,
Cinema Bandi,"Comedy, Drama",2021,7.8,3275
Motu Patlu in Dragon World,"Adventure, Animation, Comedy",2017,4.7,17
Motu Patlu in Wonderland,Animation,2013,6.7,19
Motu Patlu: Deep Sea Adventure,"Adventure, Family, Comedy",2014,,
Motu Patlu: Mission Moon,"Adventure, Animation, Comedy",2018,7,22
The Game,"Action, Adventure, Animation",2013,,
Motu Patlu Aur Khazaane Ki Race,"Action, Animation, Comedy",2015,8.4,20
Not Me,"Comedy, Drama, Fantasy",2021,5.2,1699
Are You Lonesome Tonight?,"Crime, Drama, Mystery",2021,6.3,892
A Light Never Goes Out,Drama,2022,6.3,411
Nail Bomber: Manhunt,"Crime, Documentary, History",2021,6.3,2630
The Upshaws - The Afterparty,,2021,,
Together Free,Documentary,2021,6.5,108
See for Me,"Crime, Drama, Horror",2021,5.8,8049
L'Histoire secrète de la Résistance,"War, History, Documentary",2021,,
Hell's Garden,"Action, Comedy",2021,6.3,345
Alone Together,"Drama, Romance",2022,5.4,1966
The Perfect Family,Comedy,2021,5.4,3348
A Violent Man,"Crime, Drama",2021,5.1,941
Buffoon,Drama,2022,5,323
The Railway Children Return,"Adventure, Drama, Family",2022,5.5,1702
The Blood of Wolves II,"Crime, Drama",2021,6.7,878
Intolerance,Drama,2021,7.2,644
Blue,"Drama, Sport",2021,6.6,461
Three Songs for Benazir,"Documentary, Short",2021,6.3,3059
Fortress,"Action, Thriller",2021,3.3,6009
The Circle: The Afterparty,"Documentary, TV Movie",2021,,
Mommy Issues,Comedy,2021,5.3,55
Ahmad Notirdam,"Comedy, Fantasy, Horror",2021,4.7,701
Land,Documentary,2021,6.2,5
"Hail, Driver!","Crime, Drama, Romance",2020,6.8,173
Only Fools Rush In,"Action, Comedy, Drama",2022,5.5,444
Breaking Boundaries: The Science of Our Planet,Documentary,2021,7.7,3443
Il sesso degli angeli,Comedy,2022,5,448
The Turning Point,"Crime, Drama",2021,6.3,1011
Jackass 4.5,"Action, Comedy, Documentary",2022,6.5,14893
Meenakshi Sundareshwar,"Comedy, Romance",2021,6.6,18760
Royal Space Force,"Animation, Sci-Fi, Short",1985,,
Sam Smith Live at Abbey Road Studios,Music,2020,7.5,228
Enola Holmes 2,"Action, Adventure, Crime",2022,6.8,111032
Mafia is Cose Nostre,Documentary,2019,,
Ultraman: Rising,"Action, Adventure, Animation",2024,6.9,6553
Ahaan,"Comedy, Drama",2019,7,391
Days Before the Millennium,Drama,2021,4.9,25
Somewhere in Queens,"Comedy, Drama, Sport",2022,6.8,6051
India favolosa,Documentary,1954,7.1,56
Angeli del mare: Sea Angels,Documentary,2018,6.3,7
The Lesser Caucasus - Between Ararat and the Caspian Sea,Documentary,2016,6.8,45
Rebels @ School,Comedy,2021,6.1,1940
Palazzo Vecchio: Una storia di arte e di potere,"Documentary, History",2018,6.5,143
Francesco: un anno di pontificato,"Documentary, Short",2014,6.7,13
Murder by the Coast,"Crime, Documentary, History",2021,6.5,2668
The Miracle Club,"Comedy, Drama",2023,6.4,7788
"Lyle, Lyle, Crocodile","Adventure, Comedy, Family",2022,6.1,17074
The Invitation,"Horror, Thriller",2022,5.3,38381
Love Will Tear Us Apart,Romance,2021,6.4,466
Vivere,Short,2001,6.4,45
The Midnight Maiden War,Drama,2022,5.3,96
Mom Is Pregnant,Comedy,2021,5.4,1236
Fellini - I Am a Clown,Documentary,2020,6,83
Envoy: Shark Cull,Documentary,2021,7.7,294
Miasto,Crime,2021,3.9,92
Saving Bikini Bottom: The Sandy Cheeks Movie,"Adventure, Animation, Comedy",2024,3.7,4000
Interceptor,"Action, Adventure, Drama",2022,4.7,28570
Creating an Army of the Dead,"Documentary, Short",2021,6.6,40
Between Us,"Drama, Thriller",2021,5.8,232
Friday Night Dinner: 10 Years and a Lovely Bit of Squirrel,"Comedy, Documentary",2021,8,253
Four to Dinner,"Comedy, Romance",2022,6.3,4002
Stealing Raden Saleh,"Action, Crime, Drama",2022,7.3,3390
Sumôdô: Samurai o tsugumono-tachi,"Documentary, Sport",2020,6.7,115
A Girl and a Guy,"Comedy, Romance",2021,5.1,251
Karmalink,"Drama, Sci-Fi",2021,6.1,236
Perfect Strangers,"Comedy, Drama, Romance",2022,5.8,5615
Les Nouvelles Aventures Du Bus Magique : À La Bonne Heure !,"Animation, Family",2020,,
Second Half,Comedy,2021,3.3,202
The House of Flowers: The Movie,"Comedy, Drama",2021,5.5,1074
The Shadow of the Day,"Drama, Romance",2022,6.6,597
Trippin' with the Kandasamys,"Comedy, Romance",2021,5.3,461
Love Tasting,Drama,2020,5.9,472
Ante Sundharaniki,"Comedy, Romance",2022,7.6,9175
Anweshippin Kandethum,"Crime, Drama, Mystery",2024,7.4,10526
Kaaval,"Action, Drama, Thriller",2021,5.2,1652
The Nth Room case: The Making of a Monster,Documentary,2021,,
Al Maht,"Animation, Comedy",2021,6.8,524
Headspace: Unwind Your Mind,"Animation, Documentary, Short",2021,7.2,223
Keramat 2: Caruban Larang,Horror,2022,6.1,744
Till the Summer Comes,Comedy,2022,3.5,107
Happy New Year 2,"Comedy, Romance",2021,4.3,130
Como Hackear seu Chefe,Comedy,2021,6.1,151
Super Monsters: Once Upon a Rhyme,"Animation, Family",2021,5.6,55
Gold Statue,"Adventure, Comedy, Drama",2019,6.9,65
Myriam Fares: The Journey,"Documentary, Music",2021,2.3,210
Cesare Lombroso il lato oscuro,"Biography, Documentary, History",2016,6.5,29
Time & Again,Animation,2019,,
JFK Revisited: Through the Looking Glass,"Documentary, History",2021,7.5,4671
Alan Saldaña: Locked Up,Comedy,2021,4.8,35
Dolphins,Documentary,2013,,
Mission: Joy - Finding Happiness in Troubled Times,Documentary,2021,8,470
He Went That Way,"Crime, Drama, Thriller",2023,5.1,1764
Diaries of the 1900s,,2009,,
The Inspection,Drama,2022,6.7,5721
Khalni Saket,Comedy,2021,6.2,16
The Sea Ahead,Drama,2021,6,195
"Watch Out, We're Mad","Action, Comedy",2022,3.3,1183
Choose or Die,"Drama, Horror, Thriller",2022,4.8,27699
Anak Bulan,"Comedy, Drama",2015,7.2,9
Kapp to Cape,"Documentary, Adventure",2015,,
J2: J Retribusi,"Action, Adventure, Thriller",2021,6,191
The Perfect Dinner,"Comedy, Drama",2022,6.4,904
Spirit of the Ball,Documentary,2019,6,17
Bright: Samurai Soul,"Action, Adventure, Animation",2021,5.5,1192
Trese After Dark,"Documentary, Short",2021,5.8,43
Until Midnight,"Drama, Thriller",2018,6.2,738
Dialogue Earth,Documentary,2019,,
Mollo tutto e apro un chiringuito,Comedy,2021,5.6,625
My Best Friend's Breakfast,"Comedy, Romance",2022,6,272
Upcoming,Drama,2021,6.8,843
May December,Drama,2023,6.7,69425
"Kevin Hart: ""What Now?"" All Access","Comedy, Documentary",2016,,
Spirited,"Adventure, Fantasy, Horror",2022,5,247
Ben & Jody,"Action, Adventure, Drama",2022,5.4,552
Lord of the Ants,"Biography, Drama",2022,6.7,1439
Italian Gigolo,Comedy,2022,5.5,498
Avalanche of Love,"Comedy, Romance",2022,5,81
Sisu,"Action, War",2022,6.9,97369
The Father Who Moves Mountains,"Drama, Thriller",2021,5.6,4411
Dark World,"Action, Drama, Fantasy",2021,3.7,40
Lee Su-geun: The Sense Coach,Comedy,2021,4.3,46
Lokillo,Comedy,2021,3.9,101
The Weekend Away,"Crime, Drama, Mystery",2022,5.7,33625
Embarazados,Comedy,2015,,
"Tu prima, tu hermana, la gata y tu mamá también",Comedy,2002,,
The Storied Life of A.J. Fikry,"Comedy, Drama",2022,6.7,4019
Meskina,Comedy,2021,5.6,1316
Stranded,"Drama, Thriller",2021,2.1,159
Lost in Blue,Drama,2016,,
The In-Laws,"Comedy, Drama",2021,7.1,2213
Private Network: Who Killed Manuel Buendía?,"Crime, Documentary, Mystery",2021,6.8,274
Deep,"Drama, Mystery, Sci-Fi",2021,4.9,1959
Kambili: The Whole 30 Yards,Romance,2020,6.6,84
The Crusade,"Comedy, Sci-Fi",2021,5.5,726
The Velvet Queen,Documentary,2021,7.8,3164
Il mammone,Comedy,2022,5.7,332
Jamestown: Pioneers of America,"Documentary, History",2017,6.7,52
Yakuza,,2020,,
The Wandering Earth II,"Action, Adventure, Drama",2023,6.7,15513
Bandit,"Crime, Drama, Thriller",2022,6.4,15683
Supercell,"Action, Adventure, Drama",2023,4.4,3782
After The Wave,Documentary,2015,,
The Seven Deadly Sins: Cursed by Light,"Action, Adventure, Animation",2021,6.4,1671
Besieged Bread,"Drama, Fantasy, Short",2016,5.7,81
Players,"Comedy, Romance",2024,5.7,12231
Jung_E,"Action, Adventure, Drama",2023,5.5,11495
My Amanda,"Drama, Romance",2021,5.8,411
My Father Is an Airplane,Drama,2021,6.5,666
Manodrome,"Drama, Thriller",2023,4.7,3520
Frybread Face and Me,Drama,2023,7.2,1435
Guimoon: The Lightless Door,"Horror, Mystery, Thriller",2021,4.8,410
The Ghost Station,"Horror, Mystery, Thriller",2022,4.8,805
Hero of Heroes,Animation,2022,,
The Three Musketeers - Part II: Milady,"Action, Adventure, Drama",2023,6.4,10837
Kingdom: Ashin of the North,"Action, Drama, Fantasy",2021,6.9,14671
Ahlaksiz,Drama,1979,4.1,10
Sanitation Day,Thriller,2020,3.9,37
Maboroshi,"Animation, Drama, Fantasy",2023,6.3,2453
Will,"Drama, Thriller",2021,5.9,28
Survive,"Action, Drama, Thriller",2021,6,36
Tyler Perry's A Madea Homecoming,"Comedy, Drama, Romance",2022,5.7,5338
Emicida: AmarElo - Live in São Paulo,Music,2021,8.1,70
Bankrolled,Comedy,2021,4.2,369
Így vagy tökéletes,"Comedy, Drama, Romance",2021,6.2,681
Mole Song Final,"Action, Comedy, Crime",2021,6.1,189
The Piper,"Horror, Music, Mystery",2023,4.6,1602
River,Documentary,2021,7.1,602
Baghead,"Horror, Mystery",2023,5.4,14309
The Champion,"Biography, Drama, History",2020,6.8,2257
The Staffroom,Drama,2021,7,622
The Womb,"Drama, Horror, Mystery",2022,5.9,836
In for a Murder,"Comedy, Thriller",2021,5.5,2561
Giovanni e le sue galline,Documentary,2019,6.8,33
Say Yes Again,Romance,2021,6.1,54
De nog grotere slijmfilm,Adventure,2021,4.8,111
Margaux,"Horror, Sci-Fi, Thriller",2022,4.5,5890
Soul of a Beast,Drama,2021,5.5,255
Rogue Agent,"Action, Adventure, Drama",2022,6.5,15076
Usogui,Thriller,2022,5.6,505
Erasing Frank,Drama,2021,5.7,403
Baby Assassins,"Action, Comedy, Crime",2021,6.4,1747
3 1/2 Stunden,"Drama, History",2021,6.4,527
Moonlight Shadow,Drama,2021,5.4,210
Observations at 65° South,Documentary,2021,6.5,123
Black Island,"Drama, Mystery, Thriller",2021,5.2,3603
The Kings of the World,"Adventure, Drama",2022,7,2653
Black Site,"Action, Thriller",2022,4.4,4519
Noise,"Action, Crime, Thriller",2022,6.2,278
Rebel Moon - Part One: A Child of Fire,"Action, Adventure, Drama",2023,5.6,136103
Honk for Jesus. Save Your Soul.,Comedy,2022,5.3,4435
Daddy Daughter Trip,Comedy,2022,4.8,944
The Beasts,"Drama, Thriller",2022,7.5,23252
Awon Boyz,"Documentary, Short",2019,5.6,13
Hellbender,Horror,2021,5.8,7377
Seasons,"Drama, Romance",2023,5.1,396
Aum!,"Adventure, Biography, Drama",2021,7.3,77
The Wandering Moon,"Drama, Mystery",2022,6.9,919
Donkeyhead,Drama,2022,6.1,352
Kill Boksoon,"Action, Thriller",2023,6.6,14441
Windfall,"Crime, Drama, Thriller",2022,5.7,27672
"Alice, Darling","Drama, Mystery, Romance",2022,5.6,13507
Douche,Comedy,2018,4.5,72
Pamfir,"Action, Drama, Thriller",2022,7.4,3868
Shiny_Flakes: The Teenage Drug Lord,"Biography, Crime, Documentary",2021,7.3,6206
"Barbie: Big City, Big Dreams","Animation, Family, Musical",2021,5.8,641
Guglhupfgeschwader,"Comedy, Crime",2022,6.4,1412
Monster Hunter: Legends of the Guild,"Action, Adventure, Animation",2021,5.2,1605
Thomas and the Royal Engine,"Adventure, Animation, Comedy",2020,7,69
Avig Maria,Comedy,2021,,
Rocky Road to Berlin,Adventure,2024,7.2,1494
Ukrainian Style Robbery,Comedy,2023,5.8,28
20th Century Girl,"Drama, Romance",2022,7.4,12708
Nel nostro cielo un rombo di tuono,Documentary,2022,7.5,73
Oru Thekkan Thallu Case,"Action, Comedy, Drama",2022,6.4,1460
Chilli Laugh Story,Comedy,2022,5.8,404
Lost in Paradise,"Comedy, Drama",2021,5.4,37
Athena,"Action, Drama, Thriller",2022,6.8,24300
Banger.,"Crime, Drama",2022,6.7,462
Stridavka,Comedy,2022,5,112
We Have a Ghost,"Adventure, Comedy, Family",2023,6.1,35367
Problemista,Comedy,2023,6.8,8562
The Falls,Drama,2021,7,2390
Ikaw at ako at ang ending,Drama,2021,5.8,152
Lockdown Tower,"Drama, Fantasy, Horror",2022,4.7,1132
Final Cut,"Comedy, Horror",2022,6.4,5234
I Came By,Thriller,2022,6.2,36527
Wild Roots,Drama,2021,7.3,1720
Luccas Neto em: O Mapa do Tesouro 2,Family,2021,3,24
1000 Miles from Christmas,"Comedy, Romance",2021,5.9,2206
Centaur,"Action, Crime, Drama",2022,5.3,1639
Kaguya-sama: Love Is War - Final,"Comedy, Drama, Romance",2021,5.9,148
Memories of a Murderer: The Nilsen Tapes,"Biography, Crime, Documentary",2021,6.3,4638
Chhota Bheem Neeli Pahaadi,Animation,2013,8.4,79
Chhota Bheem and the ShiNobi Secret,Animation,2013,8.2,68
Chhota Bheem: Bheem vs Aliens,"Action, Adventure, Animation",2010,6.6,161
Chhota Bheem: Journey to Petra,"Action, Adventure, Animation",2011,7.3,130
Chhota Bheem Master of Shaolin,"Action, Adventure, Animation",2011,7.1,479
The Rise of Kirmada,"Action, Adventure, Animation",2012,7.4,463
Carol of the Bells,"Drama, History",2022,8,1274
Shaka Inkosi YamaKhosi,"Animation, Short",2022,6,48
Before Forty,Horror,2021,,
"Bob Ross: Happy Accidents, Betrayal & Greed",Documentary,2021,6.9,6995
Prey,"Adventure, Drama, Thriller",2021,4.3,9747
And So the Baton Is Passed,Drama,2021,6.7,416
Fragile,"Comedy, Drama, Romance",2021,6.2,399
Ox-Head Village,"Horror, Mystery",2022,4.9,562
Diario di viaggio con fantasmi,Documentary,2006,,
Ezio Bosso: Le cose che restano,Documentary,2021,7.3,44
My Wonderful Life,"Comedy, Drama, Romance",2021,5.9,960
TADA: A Portrait of Korean Startups,Documentary,2021,,
A Thousand and One,"Crime, Drama",2023,7,8323
Learn to Swim,"Drama, Music, Romance",2021,5.6,168
Quinceañero,"Musical, Short",2021,6.1,177
Etharkkum Thunindhavan,"Action, Crime, Drama",2022,6.4,13877
Escape Room: La pel·lícula,"Comedy, Mystery, Thriller",2022,6.1,588
The Stranger,Drama,2021,6.7,118
Our River...Our Sky,"Drama, War",2021,7.1,52
Schumacher,"Biography, Documentary, Sport",2021,7.4,26732
Natchathiram Nagargirathu,"Drama, Romance",2022,6.8,1782
Beckenrand Sheriff,Comedy,2021,6,781
Thomas and Friends: The Super Engine,Animation,2021,,
Creation of the Gods I: Kingdom of Storms,"Action, Adventure, Drama",2023,6.7,5795
Farha,Drama,2021,8,90474
Emergency Situation,"Comedy, Drama",2022,6.1,461
Hádkovi,Comedy,2022,5.7,156
White Lie,"Comedy, Romance",2023,,
Kuttavum Shikshayum,"Crime, Thriller",2022,6.3,1314
Malice at the Palace,"Biography, Crime, Documentary",2021,7.5,10090
Phil Wang: Philly Philly Wang Wang,Comedy,2021,6.1,845
Pushpa: The Rule - Part 2,"Action, Crime, Drama",2024,6.1,58127
The Beautiful Game,"Drama, Sport",2024,6.3,8191
Deal with the Devil,"Biography, Crime, Documentary",2021,7.3,2912
Caitlyn Jenner,"Biography, Crime, Documentary",2021,6.5,3114
Crimes and Penalties,"Biography, Crime, Documentary",2021,7.4,4841
Big Boys Don't Cry,Documentary,2021,,
Becoming Led Zeppelin,"Documentary, Music",2025,7.5,4837
Balada Sepasang Kekasih Gila,Drama,2021,,
Pesan di Balik Awan,"Drama, Romance",2021,,
Lokillo: Nothing's the Same,Comedy,2021,5.1,64
Why am I Alive,Drama,2021,7.2,104
La Ciguapa Siempre,"Fantasy, Horror, Short",2021,4.1,353
Dog Gone,"Biography, Drama, Family",2023,6.1,6821
Rez Ball,"Drama, Sport",2024,6.3,2570
Kantara,"Action, Adventure, Drama",2022,8.2,108177
Sailor Beware!,"Comedy, Drama",1955,6.7,30
Photocopier,"Crime, Drama, Mystery",2021,6.8,4186
Butterfly Children,Documentary,2018,,
Restart,,2021,,
Hizia,"Drama, Short",2020,6.7,60
Secondo me,Drama,2020,,
Takizawa Enbujo Zero,"Music, Musical",2020,7,24
The Getaway King,"Action, Biography, Comedy",2021,6.5,2970
Autumn Girl,"Biography, Drama, Musical",2021,5.5,863
Tri Tygri ve filmu: Jackpot,"Action, Comedy",2022,4.9,211
Rekni to psem,"Comedy, Romance",2022,5,81
Toscana,"Drama, Romance",2022,5.7,10892
Devil's Horns,"Drama, Horror",2024,4.6,125
Speckles: The Tarbosaurus,,2012,,
Chasing the Line,"Biography, Drama, Sport",2021,6.4,398
만남의 광장,Romance,2020,,
The Land,"Comedy, Drama",2021,6.2,658
Tyson's Run,Drama,2022,6.1,1942
A Turma do Seu Lobato - Volume 3,,2017,,
For More Sun II,Documentary,2016,8.4,6
Blood Brothers: Malcolm X & Muhammad Ali,"Biography, Documentary, History",2021,6.9,1275
Enduring,"Documentary, Short",2019,,
"Swing, La vida d'un secret",Drama,2020,3.6,58
Boomika,Horror,2021,5,2772
Krokodile - Das wahre Leben der Urzeitechsen,Documentary,2011,7.6,37
Nneka the Pretty Serpent,"Horror, Mystery",2020,4.1,180
Buko,"Comedy, Drama",2022,6.9,71
Lupin's Daughter: The Movie,"Action, Comedy, Crime",2021,5.2,87
Escape to the Silver Globe,Documentary,2021,7.4,261
Me Time,Comedy,2022,5.1,43436
The Hill,"Biography, Drama, Sport",2023,6.7,8485
Ivy + Bean,"Action, Comedy, Family",2022,6,428
Breaking Point,"Biography, Crime, Documentary",2021,7.6,3593
Kaapa,"Action, Crime, Thriller",2022,5.9,6576
Ankahi Kahaniya,"Drama, Romance",2021,5.6,1041
CREEP,Horror,2014,,
Saakini Daakini,"Action, Comedy",2022,6,969
Emily the Criminal,"Crime, Drama, Mystery",2022,6.7,64226
Pain Hustlers,"Crime, Drama",2023,6.6,52523
A Faraway Land,Drama,2021,5,188
Log in Belgium,Documentary,2021,,
Thallumaala,"Action, Comedy, Drama",2022,6.9,6512
Ocean Boy,"Crime, Drama",2022,6,947
The Sunday Runoff,Comedy,2022,6.2,73
Mending the Line,Drama,2022,6.7,1988
"Snipp, snapp, snut","Animation, Short",2016,6.4,5
My Shadow Is Your Shadow,Drama,2022,5.3,174
Godfather,"Action, Crime, Drama",2022,5.1,7940
A Day to Die,"Action, Crime, Drama",2022,3.5,5341
Joy Ride,Comedy,2023,6.4,27489
Bholaa Shankar,"Action, Crime, Drama",2023,3.3,2262
Declaration,Drama,2022,6.4,4878
Kuttey,"Action, Comedy, Crime",2023,5.4,11073
Hypnotic,"Horror, Mystery, Thriller",2021,5.3,21117
The Curse of Bridge Hollow,"Adventure, Comedy, Family",2022,5.6,13163
Nightride,"Crime, Drama, Thriller",2021,5.5,1005
Gain A Foothold,"Drama, Family",2021,,
Once Upon a Time in Euskadi,Drama,2021,6.1,664
Blue Thermal,"Animation, Drama, Romance",2022,6.5,449
The Women and the Murderer,"Crime, Documentary",2021,6.4,1679
You People,"Comedy, Romance",2023,5.5,65700
Vaashi,"Drama, Thriller",2022,6.4,2410
Reptile,"Crime, Drama, Mystery",2023,6.8,103699
My Heroes Were Cowboys,"Documentary, Short",2021,6.8,397
Furioza,"Action, Crime, Drama",2021,6.3,6243
Guntur Kaaram,"Action, Drama",2024,5.4,24654
The Ghost,"Action, Crime, Thriller",2022,5.1,4551
Bagdad Cafe,"Comedy, Drama",2021,,
¡Que viva México!,Comedy,2023,5.6,2662
Cuatro minutos,,2021,,
The Venus Effect,"Comedy, Drama, Romance",2021,6.2,594
The Man Who Wanted to See It All,Documentary,2021,6.8,679
Mozambique's Minesweeper Rats,Documentary,2008,7.1,20
You vs. Wild: Out Cold,"Adventure, Short",2021,5.4,496
Reunion,"Comedy, Mystery",2024,5.6,3680
Lead Me Home,"Documentary, Short",2021,6.3,4377
Master Gardener,"Drama, Mystery, Thriller",2022,6.1,12480
Friendzone,"Comedy, Romance",2021,5.9,4648
Procession,Documentary,2021,7.1,1447
Marcel the Shell with Shoes On,"Animation, Comedy, Drama",2021,7.6,31835
The Trial of Adolf Eichmann,"Documentary, History",2011,7.1,193
A Man,"Drama, Mystery, Romance",2022,6.9,1857
My Bride,"Comedy, Drama, Romance",2021,5,549
Tre di troppo,"Comedy, Romance",2023,6.1,930
Someone You Loved,Romance,2023,6.3,98
