title,genres,releaseYear,imdbAverageRating,imdbNumVotes
Men in Black,"Action, Adventure, Comedy",1997,7.3,642128
Men in Black II,"Action, Adventure, Comedy",2002,6.2,419906
Munich,"Drama, History, Thriller",2005,7.5,247700
Wild Strawberries,"Drama, Romance",1957,8.1,120986
The Passion of the Christ,Drama,2004,7.3,263911
The Last Samurai,"Action, Drama",2003,7.8,490690
Wild Things,"Crime, Drama, Mystery",1998,6.6,136774
The Bodyguard,"Drama, Music, Romance",1992,6.4,154378
Ghostbusters,"Action, Comedy, Fantasy",1984,7.8,471873
Grease,"Comedy, Musical, Romance",1978,7.2,315791
The Ninth Gate,"Mystery, Thriller",1999,6.7,204968
Easy Rider,"Adventure, Drama",1969,7.2,120813
Interview with the Vampire,"Drama, Fantasy, Horror",1994,7.5,363969
The Usual Suspects,"Crime, Drama, Mystery",1995,8.5,1193729
Bridget Jones's Diary,"Comedy, Drama, Romance",2001,6.8,278841
Life Is Beautiful,"Comedy, Drama, Romance",1997,8.6,781506
Boyz n the Hood,"Crime, Drama",1991,7.8,162777
Troy,"Action, Adventure, Drama",2004,7.3,595263
Saw IV,"Horror, Mystery, Thriller",2007,5.9,171773
Twister,"Action, Adventure, Thriller",1996,6.6,244984
Central Station,Drama,1998,8,48138
Oldboy,"Action, Drama, Mystery",2003,8.3,682622
Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy",2001,7.7,907627
Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy",2002,7.4,732231
Harry Potter and the Prisoner of Azkaban,"Adventure, Family, Fantasy",2004,7.9,732079
Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",2005,7.7,720130
Harry Potter and the Order of the Phoenix,"Action, Adventure, Family",2007,7.5,668931
Pulp Fiction,"Crime, Drama",1994,8.8,2344353
Contact,"Drama, Mystery, Sci-Fi",1997,7.5,304211
The Piano,"Drama, Music, Romance",1993,7.5,98644
Together,"Comedy, Drama, Romance",2000,7.4,25119
Top Gun,"Action, Drama",1986,7,530661
The Last Emperor,"Biography, Drama, History",1987,7.7,116205
Shaun of the Dead,"Comedy, Horror",2004,7.9,620986
V for Vendetta,"Action, Drama, Sci-Fi",2005,8.1,1217751
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",1975,8.2,589598
The Evil Dead,Horror,1981,7.4,243351
Harry Potter and the Half-Blood Prince,"Action, Adventure, Family",2009,7.6,630392
Goodfellas,"Biography, Crime, Drama",1990,8.7,1332147
Gandhi,"Biography, Drama, History",1982,8,244316
Kolya,"Comedy, Drama, Music",1996,7.7,16622
Mr. & Mrs. Smith,"Action, Comedy, Crime",2005,6.5,569892
Closely Watched Trains,"Comedy, Drama, Romance",1966,7.6,14497
The Fog,"Horror, Mystery",2005,3.7,40430
City of Angels,"Drama, Fantasy, Romance",1998,6.7,131822
Persona,"Drama, Thriller",1966,8,136598
Roman Holiday,"Comedy, Drama, Romance",1953,8,153775
Se7en,"Crime, Drama, Mystery",1995,8.6,1919765
Shrek,"Adventure, Animation, Comedy",2001,7.9,776414
Shrek 2,"Adventure, Animation, Comedy",2004,7.4,533487
Shrek the Third,"Adventure, Animation, Comedy",2007,6.1,348644
Austin Powers: International Man of Mystery,"Adventure, Comedy",1997,7,266592
Austin Powers: The Spy Who Shagged Me,"Action, Adventure, Comedy",1999,6.7,256861
Underworld: Evolution,"Action, Fantasy, Thriller",2006,6.7,214391
Barren Lives,Drama,1963,7.5,3196
American Graffiti,"Comedy, Drama",1973,7.4,102716
Close Encounters of the Third Kind,"Drama, Sci-Fi",1977,7.6,226098
Dune,"Action, Adventure, Sci-Fi",1984,6.3,188973
In the Mood for Love,"Drama, Romance",2000,8.1,177989
2046,"Drama, Romance, Sci-Fi",2004,7.4,64031
Enemy at the Gates,"Action, Drama, War",2001,7.5,286677
The Mask,"Comedy, Crime, Fantasy",1994,7,449003
Black Hawk Down,"Action, Drama, History",2001,7.7,441097
Saving Private Ryan,"Drama, War",1998,8.6,1575799
Sleepless in Seattle,"Comedy, Drama, Romance",1993,6.8,199329
Total Recall,"Action, Adventure, Sci-Fi",1990,7.5,370051
The Running Man,"Action, Sci-Fi, Thriller",1987,6.6,175003
Sliver,"Drama, Thriller",1993,5.1,36144
Tsotsi,"Crime, Drama",2005,7.2,32028
A Man for All Seasons,"Biography, Drama, History",1966,7.7,38865
Hook,"Adventure, Comedy, Family",1991,6.8,283151
Coffee and Cigarettes,"Comedy, Drama, Music",2003,7,69345
The Flintstones,"Comedy, Family, Fantasy",1994,5,89695
Cinderella Man,"Biography, Drama, Romance",2005,8,204761
Dead Man,"Adventure, Drama, Western",1995,7.5,106413
Dawn of the Dead,"Action, Horror",2004,7.2,281953
Do the Right Thing,"Comedy, Drama",1989,8,119254
Godzilla,"Action, Sci-Fi, Thriller",1998,5.5,209077
Lawrence of Arabia,"Adventure, Biography, Drama",1962,8.3,330312
Heat,"Action, Crime, Drama",1995,8.3,761869
Kindergarten Cop,"Action, Comedy, Crime",1990,6.3,169937
Mission: Impossible,"Action, Adventure, Thriller",1996,7.2,499234
Mission: Impossible II,"Action, Adventure, Thriller",2000,6.1,399454
Mission: Impossible III,"Action, Adventure, Thriller",2006,6.9,411373
Seven Years in Tibet,"Adventure, Biography, Drama",1997,7.1,162245
Irreversible,"Crime, Drama, Mystery",2002,7.3,156189
Adam's Apples,"Comedy, Crime, Drama",2005,7.7,57050
Whale Rider,"Drama, Family",2002,7.5,44882
Point Break,"Action, Crime, Thriller",1991,7.3,214823
The Thirteenth Floor,"Mystery, Sci-Fi, Thriller",1999,7,80255
The Prestige,"Drama, Mystery, Sci-Fi",2006,8.5,1520771
Dreamgirls,"Drama, Musical",2006,6.6,79209
Babel,Drama,2006,7.5,324250
